"organism_biosamp","PLD_point","PLD_Min","PLD_Max","PLD_point2","isPlanktonic_atanypoint","Spawning_mode","Larval_feeding","ReturnToSpawningGround","Fecundity_EggSize","Body_Size","Generational_Structure","isBenthic","Large_Adult_Range","isInvert","isFish","isAmniote","isPlant","isCoral"
"Acanthephyra purpurea","0",NA,NA,0,1,0,2,0,1,10,0,2,1,1,0,0,0,0
"Acanthurus olivaceus","60.8",40,70,60.8,1,2,2,0,0.75,35,0,1,0,0,1,0,0,0
"Acropora cervicornis","10",7,70,10,1,2,1,0,0.65,98,0,1,0,1,0,0,0,1
"Acropora palmata","10",7,70,10,1,2,1,0,0.561,160,0,1,0,1,0,0,0,1
"Acropora prolifera","10",7,70,10,1,2,1,0,0.65,120,0,1,0,1,0,0,0,1
"Agaricia fragilis","10",7,14,10,1,2,1,0,0.4,4.74,0,1,0,1,0,0,0,1
"Agaricia undata","10",7,14,10,1,2,1,0,0.4,150,0,1,0,1,0,0,0,1
"Amphiprion bicinctus","11",NA,NA,11,1,1,2,0,3,14,0,1,0,0,1,0,0,0
"Anthopleura elegantissima","28",NA,NA,28,1,2,2,0,0.15,8,0,1,0,1,0,0,0,0
"Aptenodytes patagonicus","0",0,0,0,0,1,0,1,100,100,0,1,0,0,0,1,0,0
"Arctocephalus forsteri","0",0,0,0,0,0,0,1,NA,200,0,1,1,0,0,1,0,0
"Aythya marila","0",0,0,0,0,1,0,1,100,56,0,1,0,0,0,1,0,0
"Bartholomea annulata",NA,NA,NA,NA,1,2,1,0,0.2,30,1,1,0,1,0,0,0,0
"Bathygobius cocosensis","22.5",20,25,22.5,1,1,2,0,0.34,4,0,1,0,0,1,0,0,0
"Bathyraja aleutica","0",0,0,0,0,1,0,1,128,161,0,0,1,0,1,0,0,0
"Bathyraja panthera","0",0,0,0,0,1,0,NA,98,111,0,0,1,0,1,0,0,0
"Callinectes sapidus","50",35,70,50,1,0,2,0,0.26,20,0,1,0,1,0,0,0,0
"Caretta caretta","0",0,0,0,0,1,0,1,40,95,0,1,1,0,0,1,0,0
"Chlorostoma funebralis","6",5,13,6,1,2,2,0,0.16,5,0,1,1,1,0,0,0,0
"Coryphaenoides rupestris","195",180,210,195,1,2,2,0,2.4,110,0,1,1,0,1,0,0,0
"Cranchia scabra","119",72,166,119,1,2,2,NA,NA,15,1,2,1,1,0,0,0,0
"Ctenolabrus rupestris","20.9",18,28,20.9,1,2,2,0,0.86,18,0,1,0,0,1,0,0,0
"Dascyllus trimaculatus","24",21,28,24,1,1,2,0,2.1,14,0,1,0,0,1,0,0,0
"Ectopleura larynx","0",0,0,0,0,0,0,0,NA,6,0,0,0,1,0,0,0,0
"Engraulis encrasicolus","100",NA,NA,100,1,2,2,0,1.5,21,0,2,1,0,1,0,0,0
"Eudyptes chrysolophus","0",0,0,0,0,1,0,1,80,60,0,1,1,0,0,1,0,0
"Eukrohnia hamata","0",NA,NA,0,1,2,2,0,NA,3,0,2,1,1,0,0,0,0
"Exaiptasia pallida","35",30,40,35,1,2,2,0,0.09,2.5,0,1,0,1,0,0,0,0
"Fibramia amboinensis","0",0,NA,0,0,0,0,0,NA,7,0,0,0,0,1,0,0,0
"Gadus macrocephalus","52.5",45,60,52.5,1,2,2,0,1.1,122,0,2,1,0,1,0,0,0
"Gadus morhua","55",90,110,55,1,2,2,1,1.52,200,0,2,1,0,1,0,0,0
"Galaxea fascicularis","3",3,5,3,1,2,1,0,0.45,500,0,1,0,1,0,0,0,1
"Galaxea horrescens",NA,NA,NA,NA,1,0,2,0,0.45,500,0,1,0,1,0,0,0,1
"Galaxias maculatus","150",120,180,150,1,1,2,0,1,12,1,1,1,0,1,0,0,0
"Halichoerus grypus atlantica","0",0,0,0,0,0,0,1,NA,200,0,1,1,0,0,1,0,0
"Holacanthus passer","25",NA,NA,25,1,2,2,0,NA,36,0,1,0,0,1,0,0,0
"Homarus americanus","12",8,16,12,1,0,2,0,2,64,0,1,0,1,0,0,0,0
"Istiblennius lineatus","47",23,71,47,1,1,2,0,NA,15,0,1,0,0,1,0,0,0
"Lagenorhynchus acutus","0",0,0,0,0,0,0,0,NA,300,0,2,1,0,0,1,0,0
"Laguncularia racemosa",NA,NA,NA,NA,1,2,0,0,NA,93.1,0,1,0,0,0,0,1,0
"Larimichthys polyactis","66",NA,NA,66,1,2,2,0,1.1,26,0,1,0,0,1,0,0,0
"Lateolabrax maculatus","59.5",49,70,59.5,1,2,2,0,0.4,102,0,1,1,0,1,0,0,0
"Leptopsammia pruvoti","1705708800",NA,NA,10,1,0,1,0,0.68,0.6,0,1,0,1,0,0,0,1
"Lutjanus campechanus","34",21,47,34,1,2,2,0,0.258151933,100,0,1,0,0,1,0,0,0
"Lutjanus fulvus","34",21,47,34,1,2,2,0,0.8,40,0,1,0,0,1,0,0,0
"Montipora capitata","7",NA,NA,7,1,2,2,0,0.39,20,0,1,0,1,0,0,0,1
"Nautilus pompilius","0",NA,NA,0,0,0,0,NA,26,25,0,2,1,1,0,0,0,0
"Orbicella faveolata","20",3,120,20,1,2,1,0,0.25,83,0,1,0,1,0,0,0,1
"Ostrea lurida","9.5",NA,NA,9.5,1,0,2,0,0.1,3.5,0,1,0,1,0,0,0,0
